img, method, starting colors, k, n_points, comp type, time, world_size
glassBall-1888x2826,OMP,108388,10,5335488,light,6.38233,0
glassBall-1888x2826,MPI,108388,10,5335488,light,14.0388,1
glassBall-1888x2826,MPI,108388,10,5335488,light,7.51188,2
glassBall-1888x2826,MPI,108388,10,5335488,light,6.40613,3
glassBall-1888x2826,OMP,108388,10,5335488,light,5.11373,0
glassBall-1888x2826,MPI,108388,10,5335488,light,11.7297,1
glassBall-1888x2826,MPI,108388,10,5335488,light,7.66372,2
glassBall-1888x2826,MPI,108388,10,5335488,light,6.45345,3
glassBall-1888x2826,OMP,103269,10,5335488,medium,4.78506,0
glassBall-1888x2826,MPI,103269,10,5335488,medium,11.4039,1
glassBall-1888x2826,MPI,103269,10,5335488,medium,7.29005,2
glassBall-1888x2826,MPI,103269,10,5335488,medium,6.34361,3
glassBall-1888x2826,OMP,103269,10,5335488,medium,4.79194,0
glassBall-1888x2826,MPI,103269,10,5335488,medium,11.3619,1
glassBall-1888x2826,MPI,103269,10,5335488,medium,7.32781,2
glassBall-1888x2826,MPI,103269,10,5335488,medium,6.518,3
glassBall-1888x2826,OMP,75650,7,1333872,heavy,1.16708,0
glassBall-1888x2826,MPI,75650,7,1333872,heavy,2.28039,1
glassBall-1888x2826,MPI,75650,7,1333872,heavy,1.50637,2
glassBall-1888x2826,MPI,75650,7,1333872,heavy,1.27651,3
glassBall-1888x2826,OMP,75650,7,1333872,heavy,1.05361,0
glassBall-1888x2826,MPI,75650,7,1333872,heavy,2.28618,1
glassBall-1888x2826,MPI,75650,7,1333872,heavy,1.51883,2
glassBall-1888x2826,MPI,75650,7,1333872,heavy,1.28146,3
glassBall-1888x2826,OMP,108388,21,5335488,light,14.7806,0
glassBall-1888x2826,MPI,108388,21,5335488,light,32.119,1
glassBall-1888x2826,MPI,108388,21,5335488,light,20.1436,2
glassBall-1888x2826,MPI,108388,21,5335488,light,16.0874,3
glassBall-1888x2826,OMP,108388,21,5335488,light,14.7885,0
glassBall-1888x2826,MPI,108388,21,5335488,light,32.4314,1
glassBall-1888x2826,MPI,108388,21,5335488,light,20.0714,2
glassBall-1888x2826,MPI,108388,21,5335488,light,16.1136,3
glassBall-1888x2826,OMP,103269,20,5335488,medium,12.3206,0
glassBall-1888x2826,MPI,103269,20,5335488,medium,28.3694,1
glassBall-1888x2826,MPI,103269,20,5335488,medium,16.8656,2
glassBall-1888x2826,MPI,103269,20,5335488,medium,13.6489,3
glassBall-1888x2826,OMP,103269,20,5335488,medium,12.4287,0
glassBall-1888x2826,MPI,103269,20,5335488,medium,27.3055,1
glassBall-1888x2826,MPI,103269,20,5335488,medium,16.9111,2
