img,method,starting colors,k,n_points,comp type,time,world_size
1,OMP,74563,29,262144,light,0.0252814,2
1,OMP,74563,29,262144,light,0.0205241,3
1,OMP,74563,29,262144,light,0.0176268,4
1,MPI,74563,29,262144,light,0.0278933,2
1,MPI,74563,29,262144,light,0.018866,3
1,MPI,74563,29,262144,light,0.0155705,4
1,Sequential,74563,29,262144,light,0.0418498,0
2,OMP,74563,29,524176,light,0.0499122,2
2,OMP,74563,29,524176,light,0.0373028,3
2,OMP,74563,29,524176,light,0.0335106,4
2,MPI,74563,29,524176,light,0.0527662,2
2,MPI,74563,29,524176,light,0.0394893,3
2,MPI,74563,29,524176,light,0.0301983,4
2,Sequential,74563,29,524176,light,0.0795972,0
3,OMP,74563,29,784996,light,0.0714588,2
3,OMP,74563,29,784996,light,0.0563894,3
3,OMP,74563,29,784996,light,0.0509359,4
3,MPI,74563,29,784996,light,0.0844503,2
3,MPI,74563,29,784996,light,0.0506338,3
1,OMP,74563,29,262144,light,0.0256219,2
1,OMP,74563,29,262144,light,0.0212543,3
1,OMP,74563,29,262144,light,0.0204713,4
1,MPI,74563,29,262144,light,0.027393,2
1,MPI,74563,29,262144,light,0.0199664,3
1,MPI,74563,29,262144,light,0.0145745,4
1,Sequential,74563,29,262144,light,0.0404017,0
2,OMP,74563,29,524176,light,0.0478405,2
2,OMP,74563,29,524176,light,0.0393327,3
2,OMP,74563,29,524176,light,0.033931,4
2,MPI,74563,29,524176,light,0.0533223,2
2,MPI,74563,29,524176,light,0.0362633,3
2,MPI,74563,29,524176,light,0.0307396,4
2,Sequential,74563,29,524176,light,0.0796613,0
3,OMP,74563,29,784996,light,0.0709245,2
3,OMP,74563,29,784996,light,0.0551446,3
3,OMP,74563,29,784996,light,0.0497602,4
3,MPI,74563,29,784996,light,0.080523,2
3,MPI,74563,29,784996,light,0.0567732,3
3,MPI,74563,29,784996,light,0.041629,4
3,Sequential,74563,29,784996,light,0.117273,0
4,OMP,74563,29,1048576,light,0.093254,2
4,OMP,74563,29,1048576,light,0.0734212,3
4,OMP,74563,29,1048576,light,0.0642789,4
4,MPI,74563,29,1048576,light,0.0984663,2
4,MPI,74563,29,1048576,light,0.0784642,3
4,MPI,74563,29,1048576,light,0.0580053,4
4,Sequential,74563,29,1048576,light,0.15417,0
5,OMP,74563,29,1308736,light,0.118077,2
5,OMP,74563,29,1308736,light,0.0926297,3
5,OMP,74563,29,1308736,light,0.0802221,4
5,MPI,74563,29,1308736,light,0.12721,2
5,MPI,74563,29,1308736,light,0.0869883,3
5,MPI,74563,29,1308736,light,0.0644827,4
5,Sequential,74563,29,1308736,light,0.193173,0
6,OMP,74563,29,1572516,light,0.143895,2
6,OMP,74563,29,1572516,light,0.112927,3
6,OMP,74563,29,1572516,light,0.0978532,4
6,MPI,74563,29,1572516,light,0.133898,2
6,MPI,74563,29,1572516,light,0.0940639,3
6,MPI,74563,29,1572516,light,0.0871129,4
6,Sequential,74563,29,1572516,light,0.23379,0
7,OMP,74563,29,1833316,light,0.169822,2
7,OMP,74563,29,1833316,light,0.131716,3
7,OMP,74563,29,1833316,light,0.116445,4
7,MPI,74563,29,1833316,light,0.162883,2
7,MPI,74563,29,1833316,light,0.11257,3
7,MPI,74563,29,1833316,light,0.0982334,4
7,Sequential,74563,29,1833316,light,0.27613,0
8,OMP,74563,29,2096704,light,0.195074,2
8,OMP,74563,29,2096704,light,0.155276,3
8,OMP,74563,29,2096704,light,0.134859,4
8,MPI,74563,29,2096704,light,0.195497,2
8,MPI,74563,29,2096704,light,0.136929,3
8,MPI,74563,29,2096704,light,0.106297,4
8,Sequential,74563,29,2096704,light,0.320354,0
9,OMP,74563,29,2359296,light,0.227808,2
9,OMP,74563,29,2359296,light,0.178359,3
9,OMP,74563,29,2359296,light,0.150636,4
9,MPI,74563,29,2359296,light,0.209823,2
9,MPI,74563,29,2359296,light,0.135199,3
9,MPI,74563,29,2359296,light,0.120939,4
9,Sequential,74563,29,2359296,light,0.356421,0
10,OMP,74563,29,2621161,light,0.24848,2
10,OMP,74563,29,2621161,light,0.200628,3
10,OMP,74563,29,2621161,light,0.173259,4
10,MPI,74563,29,2621161,light,0.241327,2
10,MPI,74563,29,2621161,light,0.161442,3
10,MPI,74563,29,2621161,light,0.127494,4
10,Sequential,74563,29,2621161,light,0.403733,0
11,OMP,74563,29,2883204,light,0.27628,2
11,OMP,74563,29,2883204,light,0.21781,3
11,OMP,74563,29,2883204,light,0.193496,4
11,MPI,74563,29,2883204,light,0.238938,2
11,MPI,74563,29,2883204,light,0.195832,3
11,MPI,74563,29,2883204,light,0.129128,4
11,Sequential,74563,29,2883204,light,0.436879,0
12,OMP,74563,29,3143529,light,0.298815,2
12,OMP,74563,29,3143529,light,0.24396,3
12,OMP,74563,29,3143529,light,0.211241,4
12,MPI,74563,29,3143529,light,0.26973,2
12,MPI,74563,29,3143529,light,0.190876,3
12,MPI,74563,29,3143529,light,0.160872,4
12,Sequential,74563,29,3143529,light,0.495293,0
1,OMP,74563,29,262144,light,0.026199,2
1,OMP,74563,29,262144,light,0.019975,3
1,OMP,74563,29,262144,light,0.0192393,4
1,MPI,74563,29,262144,light,0.0294806,2
1,MPI,74563,29,262144,light,0.018908,3
1,MPI,74563,29,262144,light,0.0151367,4
1,Sequential,74563,29,262144,light,0.04055,0
2,OMP,74563,29,524176,light,0.0483518,2
2,OMP,74563,29,524176,light,0.0377569,3
2,OMP,74563,29,524176,light,0.0331966,4
2,MPI,74563,29,524176,light,0.0473167,2
2,MPI,74563,29,524176,light,0.0352556,3
2,MPI,74563,29,524176,light,0.0340954,4
2,Sequential,74563,29,524176,light,0.0782475,0
3,OMP,74563,29,784996,light,0.0701461,2
3,OMP,74563,29,784996,light,0.0557194,3
3,OMP,74563,29,784996,light,0.0482683,4
3,MPI,74563,29,784996,light,0.0761749,2
3,MPI,74563,29,784996,light,0.0529784,3
3,MPI,74563,29,784996,light,0.051262,4
3,Sequential,74563,29,784996,light,0.117484,0
4,OMP,74563,29,1048576,light,0.0939517,2
4,OMP,74563,29,1048576,light,0.0734316,3
4,OMP,74563,29,1048576,light,0.0636653,4
4,MPI,74563,29,1048576,light,0.0968602,2
4,MPI,74563,29,1048576,light,0.0650046,3
4,MPI,74563,29,1048576,light,0.0516096,4
