img,method,starting colors,k,n_points,comp type,time,world_size
1,CUDA,74563,29,262144,light,0.00486351,0
2,CUDA,74563,29,524176,light,0.00848961,0
3,CUDA,74563,29,784996,light,0.00953035,0
4,CUDA,74563,29,1048576,light,0.01283,0
5,CUDA,74563,29,1308736,light,0.0153724,0
6,CUDA,74563,29,1572516,light,0.0214549,0
7,CUDA,74563,29,1833316,light,0.0197691,0
8,CUDA,74563,29,2096704,light,0.0228745,0
9,CUDA,74563,29,2359296,light,0.0254905,0
10,CUDA,74563,29,2621161,light,0.0339921,0
11,CUDA,74563,29,2883204,light,0.0316543,0
12,CUDA,74563,29,3143529,light,0.0343658,0
1,CUDA,74563,29,262144,light,0.00531939,0
2,CUDA,74563,29,524176,light,0.00793246,0
3,CUDA,74563,29,784996,light,0.0105039,0
4,CUDA,74563,29,1048576,light,0.0141014,0
5,CUDA,74563,29,1308736,light,0.0163936,0
6,CUDA,74563,29,1572516,light,0.0186326,0
7,CUDA,74563,29,1833316,light,0.0202477,0
8,CUDA,74563,29,2096704,light,0.024658,0
9,CUDA,74563,29,2359296,light,0.0270566,0
10,CUDA,74563,29,2621161,light,0.0278824,0
11,CUDA,74563,29,2883204,light,0.0319963,0
12,CUDA,74563,29,3143529,light,0.0356415,0
1,CUDA,74563,29,262144,light,0.00591444,0
2,CUDA,74563,29,524176,light,0.00673355,0
3,CUDA,74563,29,784996,light,0.0119802,0
4,CUDA,74563,29,1048576,light,0.0143349,0
5,CUDA,74563,29,1308736,light,0.0150743,0
6,CUDA,74563,29,1572516,light,0.0183834,0
7,CUDA,74563,29,1833316,light,0.0254634,0
8,CUDA,74563,29,2096704,light,0.0240067,0
9,CUDA,74563,29,2359296,light,0.0303431,0
10,CUDA,74563,29,2621161,light,0.0263452,0
11,CUDA,74563,29,2883204,light,0.0306872,0
12,CUDA,74563,29,3143529,light,0.0336485,0
1,CUDA,74563,29,262144,light,0.00474394,0
2,CUDA,74563,29,524176,light,0.0109685,0
3,CUDA,74563,29,784996,light,0.0102541,0
4,CUDA,74563,29,1048576,light,0.0142732,0
5,CUDA,74563,29,1308736,light,0.0175834,0
6,CUDA,74563,29,1572516,light,0.0173349,0
7,CUDA,74563,29,1833316,light,0.0201097,0
8,CUDA,74563,29,2096704,light,0.0255423,0
9,CUDA,74563,29,2359296,light,0.0286396,0
10,CUDA,74563,29,2621161,light,0.028379,0
11,CUDA,74563,29,2883204,light,0.0317549,0
12,CUDA,74563,29,3143529,light,0.0359751,0
1,CUDA,74563,29,262144,light,0.00443773,0
2,CUDA,74563,29,524176,light,0.00871098,0
3,CUDA,74563,29,784996,light,0.00862755,0
4,CUDA,74563,29,1048576,light,0.0119849,0
5,CUDA,74563,29,1308736,light,0.0132925,0
6,CUDA,74563,29,1572516,light,0.0157757,0
7,CUDA,74563,29,1833316,light,0.017313,0
8,CUDA,74563,29,2096704,light,0.0204112,0
9,CUDA,74563,29,2359296,light,0.0202767,0
10,CUDA,74563,29,2621161,light,0.0224911,0
11,CUDA,74563,29,2883204,light,0.0259085,0
12,CUDA,74563,29,3143529,light,0.0322061,0
1,CUDA,74563,29,262144,light,0.00854656,0
2,CUDA,74563,29,524176,light,0.00780521,0
3,CUDA,74563,29,784996,light,0.0108837,0
4,CUDA,74563,29,1048576,light,0.012446,0
5,CUDA,74563,29,1308736,light,0.0162592,0
6,CUDA,74563,29,1572516,light,0.0181822,0
7,CUDA,74563,29,1833316,light,0.0215624,0
8,CUDA,74563,29,2096704,light,0.0241093,0
9,CUDA,74563,29,2359296,light,0.0276575,0
10,CUDA,74563,29,2621161,light,0.0279453,0
11,CUDA,74563,29,2883204,light,0.0342811,0
12,CUDA,74563,29,3143529,light,0.0356482,0
1,CUDA,74563,29,262144,light,0.00605268,0
2,CUDA,74563,29,524176,light,0.00817815,0
3,CUDA,74563,29,784996,light,0.0123011,0
4,CUDA,74563,29,1048576,light,0.0149141,0
5,CUDA,74563,29,1308736,light,0.013366,0
6,CUDA,74563,29,1572516,light,0.0161552,0
7,CUDA,74563,29,1833316,light,0.0174909,0
8,CUDA,74563,29,2096704,light,0.0232035,0
9,CUDA,74563,29,2359296,light,0.0254551,0
10,CUDA,74563,29,2621161,light,0.0251342,0
11,CUDA,74563,29,2883204,light,0.0282655,0
12,CUDA,74563,29,3143529,light,0.0274165,0
1,CUDA,74563,29,262144,light,0.00440782,0
2,CUDA,74563,29,524176,light,0.00794643,0
3,CUDA,74563,29,784996,light,0.00945984,0
4,CUDA,74563,29,1048576,light,0.0103837,0
5,CUDA,74563,29,1308736,light,0.012618,0
6,CUDA,74563,29,1572516,light,0.0164481,0
7,CUDA,74563,29,1833316,light,0.0195743,0
8,CUDA,74563,29,2096704,light,0.026587,0
